Time (s),acc_x,acc_y,acc_z,gx,gy,gz (deg/s)
48.61972523,-0.001434613,-0.00163134,1.000603,0.8361618,0.8581451,0.9862267
48.62980413,-0.000453844,-0.003050383,1.004974,-0.08751191,1.455637,0.7421087
48.63988352,-0.001885406,-0.007867984,1.005919,-1.380655,2.411624,0.1928431
48.64996243,0.000994605,-0.006440063,1.002519,-1.257499,2.411624,-0.6615701
48.65752268,-0.004333535,-0.005524504,0.9952291,-0.7648726,1.754383,-0.6615701
48.66760159,-4.86E-05,0.00454304,0.9850679,-0.3954031,0.6191484,-0.05127494
48.67768097,0.001870619,0.008887745,0.9855795,-0.02593367,0.6191484,0.1318136
48.68776035,-0.000505762,0.000232405,0.9899083,0.7745835,0.2009041,0.1318136
48.69783926,0.003877254,-0.001127136,1.003522,0.5898488,-0.7550829,0.07078408
48.70791864,-0.001870839,-0.01026125,1.008824,-0.02593367,-0.09784186,-0.4784815
48.71799803,-0.000909131,-0.01026653,1.00785,-0.7032943,0.9178943,-0.6615701
48.72807694,-0.000481586,-0.002625115,0.9957304,-1.072764,2.112878,1.047256
48.73815632,-0.005321589,-0.005090959,0.9874466,-1.503812,2.292126,0.3149022
48.74823523,-0.004847716,-0.009472853,0.980607,-1.257499,3.248113,0.8031382
48.75831461,-0.009693285,0.001142087,0.9821351,-0.5185596,1.814132,1.535492
48.76839399,-0.003890961,-0.003184864,0.9835642,-0.8264508,0.7386467,2.389906
48.7784729,0.002870901,-0.009946348,0.9810848,-2.181172,-0.2770894,4.281821
48.78855276,-0.000475549,-0.009885885,0.9913067,-1.380655,-1.292826,3.427408
48.79863215,-0.00239199,-0.009860332,0.9956879,-1.873281,-0.9343305,2.206817
48.80871153,-0.000461755,-0.01034114,0.9956836,-1.934859,0.1411549,1.169315
48.81879044,0.001020629,-0.02093161,0.9985378,-0.9496073,1.395888,1.291374
48.82886982,-0.00774523,-0.00027024,0.9874777,-0.1490902,1.694634,1.596522
48.8389492,-0.00770153,-0.007450033,0.9961932,-0.02593367,1.694634,1.84064
48.84902811,-0.01929642,0.001224865,0.9967415,-0.08751191,2.053129,0.9251972
48.85910749,-0.01060912,-0.003603173,0.994759,0.09722282,2.292126,0.6200497
48.8691864,-0.01010641,-0.000649321,1.004509,-1.319077,3.42736,0.8641677
48.87926579,-0.009095901,-0.01800667,1.004889,-1.750125,4.084601,1.047256
48.88934517,-0.009128597,-0.01128813,0.9995773,-3.351159,4.443097,2.511965
48.89942408,-0.004799983,-0.01276464,0.9942122,-2.673798,2.590872,1.657551
48.90950346,-0.01155937,-0.01133192,0.9927663,-2.796955,1.93363,2.328876
48.91958332,-0.01543285,-0.00748878,0.9908462,-2.858533,0.5593992,3.18329
48.9296627,-0.002866185,-0.01517746,0.9937094,-0.888029,-0.3368386,2.878142
48.93974161,-0.01302471,-0.008463481,0.9888919,-0.3338249,-0.456337,2.939171
48.949821,0.000507247,-0.000632408,1.005961,-0.3338249,-1.950067,2.389906
48.95990038,-0.004308276,-0.009349529,1.000559,0.4666923,-1.472073,0.8031382
48.96997929,-0.005728522,-0.01365788,1.005886,-0.3338249,-0.3368386,1.657551
48.97753859,-0.005308254,0.001726548,0.9981936,-0.888029,0.02165651,2.267847
48.98761797,-0.000941987,-0.008397502,0.9981288,-0.6417161,0.7386467,1.108286
48.99769688,-0.005313687,-0.006528717,0.9888977,-0.9496073,2.053129,1.901669
49.00777626,-0.01261978,0.01561648,0.983685,-2.489064,1.156891,1.657551
49.01785612,0.00244846,-0.02776004,0.9858432,-2.489064,1.93363,2.817112
49.02793551,0.002908869,-0.01325913,0.9912836,-1.319077,0.6788976,2.939171
49.03801441,-0.006243792,-0.02100299,0.9878374,-1.134342,0.9178943,3.488437
49.0480938,-0.006741686,-0.01327832,0.9893444,-1.626968,2.112878,4.159761
49.05817318,-0.007205339,-0.0161482,0.9932203,-0.888029,3.009116,2.634024
49.06825209,-0.01006459,-0.02238064,0.9995107,-1.380655,3.606608,2.389906
49.07833147,-0.01005684,-0.02430365,1.000472,-1.072764,3.009116,2.511965
49.08841085,-0.01975853,-0.009885282,0.9937546,-1.19592,2.650621,2.450935
49.09848976,-0.01202875,-0.01033478,0.9981256,-1.380655,1.754383,1.962699
49.10856915,-0.01923987,-0.01805021,0.9990575,-1.134342,2.172627,1.169315
49.11864805,-0.01054404,-0.022375,1.000484,-1.56539,3.009116,0.4979907
49.12872744,-0.01486693,-0.02476551,1.004366,-2.489064,3.009116,0.3759317
49.1388073,-0.01824965,-0.02478302,1.001935,-3.535894,3.487109,-0.4784815
49.14888668,-0.009094976,-0.02382368,0.9999878,-3.104846,3.785855,0.5590202
49.15896559,-0.0124997,-0.01855442,0.9946697,-3.597472,3.726106,0.009754575
49.16904497,-0.01104117,-0.0209526,0.9966006,-2.489064,3.009116,0.8641677
49.17912436,-0.003295448,-0.03688515,0.9926049,-1.811703,2.531122,1.962699
49.18920326,-0.01063253,-0.01141218,0.9796265,-1.319077,1.754383,2.634024
49.19928265,-0.01492349,-0.01858321,0.9902918,-1.811703,0.9178943,3.000201
49.20936203,-0.01780645,-0.02486664,0.9883094,-1.319077,0.2606533,1.596522
49.21944094,-0.02068522,-0.02241255,0.9956258,-1.011186,0.6191484,0.07078408
49.22952032,-0.01977729,-0.01622953,0.9815507,-0.9496073,0.2606533,0.4369612
49.23959923,-0.01490226,-0.02193198,0.994651,-1.134342,1.156891,0.4979907
49.24967861,-0.01824129,-0.03349354,0.9970164,-1.442233,1.575135,0.9862267
49.259758,-0.02118979,-0.0224609,0.98784,-1.380655,1.336138,1.474463
49.26983786,-0.01979976,-0.01676277,0.973275,-0.3954031,0.3204024,1.169315
49.27991676,-0.01833767,-0.0167287,0.9786269,1.390366,0.3801516,0.7421087
49.28747606,-0.01347149,-0.02826915,0.9834192,1.698257,0.49965,1.108286
49.29755545,-0.02018577,-0.02528471,0.9990143,0.9593183,0.49965,2.145788
49.30763483,-0.01535554,-0.03156838,0.9960526,0.4666923,0.5593992,2.206817
49.31771374,-0.02020529,-0.02096244,0.9961208,-0.6417161,0.6788976,2.695053
49.32779312,-0.02163113,-0.03401131,0.9916631,-2.735376,1.634884,3.427408
49.33787203,-0.0153794,-0.0233761,0.9951292,-2.489064,1.873881,2.695053
49.34795141,-0.008160397,-0.03019121,0.9838901,-0.9496073,0.0814057,1.718581
49.35803127,-0.01250777,-0.03069469,0.9809707,0.09722282,-0.7550829,0.6810792
49.36811066,-0.009592421,-0.0321003,0.9872859,1.020896,-1.412324,0.7421087
49.37818956,-0.009573821,-0.03060556,0.9950808,0.9593183,-1.292826,1.047256
49.38826895,-0.01002693,-0.03102819,1.004811,0.651427,-1.173327,0.8031382
49.39834833,-0.00757772,-0.03433916,1.015008,-0.4569814,0.5593992,1.657551
49.40842724,-0.01630902,-0.01457332,1.015135,-0.4569814,1.634884,2.389906
49.41850662,-0.007144896,-0.01892774,1.011695,-0.3954031,2.053129,2.450935
49.42858601,-0.01100071,-0.01213711,1.018552,-1.811703,1.455637,3.12226
49.43866491,-0.006714867,-0.007886577,1.003489,-2.796955,0.8581451,2.695053
49.4487443,-0.009624794,-0.01131848,0.9947114,-2.550642,-0.03809267,1.962699
49.45882368,-0.000476481,-0.01279739,0.9883694,-1.996438,-0.9940796,2.939171
49.46890259,0.01067924,-0.02622918,0.9984983,-1.257499,-0.3965878,3.305348
49.47898197,0.001054089,-0.03831667,0.9945393,-1.257499,1.455637,3.366378
49.48906183,-0.002906019,-0.01768769,0.977636,-1.811703,1.037393,4.281821
49.49914074,-4.55E-05,-0.0119375,0.9713427,-0.6417161,-1.053829,3.976673
49.50922012,-0.006265181,-0.02250373,0.9790691,-0.3954031,-1.531822,4.464909
49.51929951,-0.006227994,-0.03260702,0.9829007,-1.011186,-1.173327,4.34285
49.52937841,-0.01692579,-0.01243834,0.9703794,-0.2722467,-1.531822,3.12226
49.5394578,-0.01693463,-0.01391209,0.965991,-0.08751191,-1.890318,3.427408
49.54953718,-0.01590071,-0.03218895,0.973665,0.7745835,-0.8148321,3.549467
49.55961609,-0.02024359,-0.03171293,0.9731846,1.205631,0.2009041,4.586968
49.56969547,-0.0183045,-0.01762722,0.9893269,0.89774,0.9776434,4.770057
49.57977486,-0.02261221,-0.0291985,0.9902333,0.7745835,2.889617,4.34285
49.58985376,-0.01683389,-0.01708991,0.9980882,0.651427,3.128614,3.976673
49.59993315,-0.01636683,-0.02100155,0.9893049,0.89774,3.726106,3.610496
49.61001205,-0.005740169,-0.03695893,0.9809275,0.8361618,2.889617,4.159761
49.61757231,-0.01498378,-0.01531842,0.9723068,1.451944,0.6191484,5.990647
49.62765122,-0.01646012,-0.01198872,0.965029,2.067727,-3.085301,5.319323
49.6377306,-0.01210423,-0.006617729,0.9752772,1.821414,-4.818027,6.84506
49.64780998,-0.0193265,-0.01872141,0.9683966,1.575101,-4.937526,6.723001
49.65788889,-0.01546649,-0.01677453,0.9708385,2.498774,-4.877777,5.807559
49.66796827,-0.02027783,-0.01675413,0.9747353,1.882992,-4.160786,5.990647
49.67804766,-0.01687326,-0.01814438,0.9834833,2.067727,-2.667057,4.525939
49.68812656,-0.01829753,-0.02197649,0.9878407,1.882992,-0.5758353,3.610496
49.69820595,-0.01971452,-0.02045883,0.9995298,1.451944,1.395888,3.976673
49.70828581,-0.01778537,-0.0243364,0.9960984,0.7130053,2.112878,4.34285
49.71836519,-0.02598515,-0.02046651,0.999048,1.020896,3.009116,3.671525
49.7284441,-0.02551933,-0.01953164,0.9941871,1.513522,3.367611,3.610496
49.73852348,-0.0279501,-0.01957542,0.987376,2.190883,3.009116,5.502411
49.74860239,-0.0318174,-0.0225078,0.9815218,3.052979,0.9776434,5.6855
49.75868177,-0.02840105,-0.02629732,0.9922017,3.052979,-1.292826,5.258293
49.76876116,-0.0240433,-0.02819609,0.9965665,2.868244,-2.368311,4.647998
49.77884007,-0.02353316,-0.03686427,0.99846,4.161386,-3.085301,3.854614
49.78891945,-0.0230117,-0.03193042,1.016494,2.868244,-3.981539,3.732555
49.79899883,-0.02836075,-0.02233133,1.009744,2.314039,-4.399783,3.488437
