time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.772118,-0.03125,0.02636719,0.8244629,0.081841517,0.009713611,-0.046281619
0.781424,-0.03417969,0.0246582,0.8239746,-0.108998483,-0.135324389,0.030054281
0.790776,-0.03076172,0.01928711,0.815918,-0.032662483,0.162385811,0.037687881
0.8108,-0.03393555,0.02612305,0.815918,0.036039517,-0.097156389,0.083489381
0.8203529,-0.03320313,0.02319336,0.8181152,-0.101365483,0.009713611,0.014787081
0.8297111,-0.03466797,0.02587891,0.8132324,0.013138517,0.040248611,0.091122981
0.839039,-0.03198242,0.02490234,0.8122559,0.089474517,0.055515611,0.060588581
0.8483521,-0.04052734,0.02294922,0.8110352,0.058940517,-0.074255389,0.159825281
0.857674,-0.0324707,0.02148438,0.8249512,-0.101365483,-0.066621389,-0.176052619
0.867014,-0.02807617,0.02490234,0.8217773,0.081841517,-0.081889389,0.114023681
0.876346,-0.02880859,0.01733398,0.8183594,-0.002128483,-0.051354389,-0.031014419
0.885665,-0.03149414,0.02099609,0.8308105,-0.093731483,0.040248611,-0.046281619
0.894991,-0.03125,0.02392578,0.8198242,0.249780017,0.086049611,0.022420681
0.91524,-0.03442383,0.02490234,0.8183594,0.058940517,-0.036087389,0.075855781
0.924802,-0.0300293,0.02490234,0.8132324,-0.063197483,-0.158225389,-0.038648019
0.9340919,-0.03344727,0.02050781,0.809082,-0.200601483,0.002080611,0.037687881
0.943435,-0.0300293,0.02099609,0.8171387,-0.131899483,-0.089522389,0.228527481
0.952806,-0.03173828,0.02734375,0.8095703,-0.154800483,-0.058988389,0.037687881
0.962121,-0.03613281,0.0234375,0.8137207,-0.093731483,-0.036087389,-0.046281619
0.971397,-0.03027344,0.02294922,0.8242188,0.043673517,0.108950611,-0.053915219
0.980749,-0.0300293,0.02661133,0.8193359,-0.124265483,-0.005553389,-0.107350319
0.990046,-0.03686523,0.02294922,0.8271484,0.028405517,0.047881611,0.075855781
0.99943,-0.0324707,0.02294922,0.8144531,0.150543517,-0.013186389,0.022420681
1.019932,-0.02685547,0.02661133,0.8085938,-0.070830483,0.070782611,-0.008113719
1.029477,-0.03491211,0.02416992,0.8222656,-0.246403483,0.108950611,-0.076815919
1.038892,-0.02856445,0.02514648,0.8286133,0.043673517,0.047881611,-0.031014419
1.048259,-0.0300293,0.02197266,0.8222656,0.005505517,0.292156811,-0.084449519
1.057526,-0.03051758,0.02734375,0.8190918,-0.025029483,0.024981611,-0.015747319
1.066877,-0.03686523,0.01977539,0.8190918,0.089474517,0.009713611,0.068222181
1.076266,-0.02880859,0.02514648,0.817627,0.036039517,0.139484611,0.068222181
1.085563,-0.02978516,0.02612305,0.8161621,-0.254036483,-0.127690389,0.152191681
1.094883,-0.03027344,0.02197266,0.8222656,0.135276517,-0.196392389,-0.069182419
1.104248,-0.03173828,0.02124023,0.8220215,0.028405517,0.154752211,0.052954981
1.124804,-0.03051758,0.02075195,0.824707,-0.162433483,-0.051354389,0.060588581
1.134398,-0.02807617,0.02197266,0.8188477,0.005505517,-0.020820389,-0.061548819
1.143764,-0.03222656,0.02246094,0.8122559,0.257413617,-0.081889389,-0.046281619
1.153109,-0.02636719,0.02758789,0.8237305,0.028405517,0.147118611,0.007153481
1.162504,-0.02929688,0.02490234,0.8251953,-0.108998483,-0.120057389,0.014787081
1.171817,-0.02539063,0.02441406,0.8227539,-0.231136483,0.009713611,0.098756481
1.181186,-0.0324707,0.01855469,0.8222656,-0.063197483,-0.028454389,0.091122981
1.190532,-0.02929688,0.02514648,0.8132324,-0.070830483,0.032614611,-0.130251019
1.199895,-0.02832031,0.02441406,0.8181152,-0.002128483,0.002080611,-0.244754919
1.209246,-0.02905273,0.02612305,0.8168945,-0.170067483,-0.005553389,-0.046281619
1.229992,-0.0300293,0.03320313,0.8117676,0.081841517,0.147118611,-0.000480119
1.239482,-0.03149414,0.02075195,0.8205566,0.226879217,0.162385811,0.014787081
1.248835,-0.02807617,0.0222168,0.8208008,0.066573517,-0.127690389,0.190359581
