Time (s),acc_x,acc_y,acc_z,gx,gy,gz (deg/s)
46.16814982,0.001748048,0.013449503,1.005798667,0.19806501,7.5436,3.129789
46.17814982,-0.008505858,0.015806887,1.007101667,0.19806501,5.663520333,2.499707667
46.18814982,-0.008749999,0.01751404,1.009382,0.177739843,5.074089333,1.798488
46.19814982,-0.010214843,0.016623947,1.003645167,0.208227667,4.108642,1.219219567
46.20814982,-0.007529296,0.01459473,1.000164133,0.147252067,3.112707,1.239544567
46.21814982,-0.006389973,0.016387533,0.9945702,0.09643905,2.350512,2.489544567
46.22814982,-0.006796874,0.018980103,0.9979517,-0.025512183,2.543601667,4.207024333
46.23814982,-0.011272785,0.019387003,0.996961133,0.00497565,3.254984,5.020032667
46.24814982,-0.018841144,0.01776286,1.000857733,0.045626067,3.204171,3.922471667
46.25814982,-0.021933593,0.012157593,0.999159267,0.137089477,2.381000167,2.062715467
46.26814982,-0.019492187,0.011752117,1.002177967,0.116764243,1.090349588,0.8330406
46.27814982,-0.013714192,0.011424153,0.999421967,0.076113827,0.216365855,0.599300833
46.28814982,-0.011679685,0.01402181,1.001368433,0.025300827,-0.210463379,0.822878033
46.29814982,-0.012574868,0.0145872,1.001833667,0.004975637,-0.210463379,0.904178833
46.30814982,-0.01688802,0.014995527,1.001253833,0.004975637,0.084252088,0.7415772
46.31814982,-0.0173763,0.013866377,1.0008665,0.147252027,1.232626155,0.304585367
46.32814982,-0.01680664,0.011837974,0.999743,0.22855285,1.852544733,0.020032533
46.33814982,-0.0165625,0.011595461,0.998604533,0.309853633,1.9338455,-0.030780467
46.34814982,-0.01664388,0.012563477,0.997120433,0.20822765,0.89726003,0.314748
46.35814982,-0.017701823,0.015,1.0001926,0.137089417,0.175715397,0.639951267
46.36814982,-0.01672526,0.014835203,0.999973067,0.015138227,-0.240951237,0.589138243
46.37814982,-0.017050783,0.016142373,1.000630833,-0.035674823,-0.200300827,0.202959377
46.38814982,-0.015341797,0.013870035,0.9981139,-0.07632523,-0.108837363,-0.12224389
46.39814982,-0.013632813,0.012568155,1.0009284,-0.035674823,0.013113858,-0.264520333
46.40814982,-0.01273763,0.013132322,1.000522833,-0.02551218,-0.017373919,-0.16289432
46.41814982,-0.014690757,0.01597412,1.000225333,0.03546346,0.063926885,-0.07143092
46.42814982,-0.015748697,0.01743693,1.000064667,0.055788643,0.063926885,-0.05110572
46.43814982,-0.01672526,0.013942262,1.0007139,0.076113827,0.023276488,-0.183219533
46.44814982,-0.015423177,0.011906332,1.000120033,-0.025512207,-0.159650345,-0.345821133
46.45814982,-0.01664388,0.011174722,0.9953227,-0.035674797,-0.169812937,-0.3153333
46.46814982,-0.014365233,0.010199787,0.994684933,0.00497561,0.104577263,-0.1324065
46.47814982,-0.01298177,0.012317707,0.994768433,0.045626003,0.338317097,-0.010455286
46.48814982,-0.01265625,0.0153302,0.997454,0.055788593,0.4907561,0.009869914
46.49814982,-0.015911457,0.01695394,1.000123433,0.015138187,0.521243933,-0.101918686
46.50814982,-0.01713216,0.016634117,1.0035379,0.055788593,0.511081333,-0.2441951
46.51814982,-0.019492187,0.01558065,1.006365333,0.106601593,0.2163659,-0.315333333
46.52814982,-0.02006185,0.017939657,1.001565167,0.177739833,-0.1799756,-0.295008133
46.53814982,-0.022503257,0.018664347,0.9984805,0.198065067,-0.322252027,-0.142569127
46.54814982,-0.018027343,0.017847697,0.9977835,0.157414667,-0.332414627,-0.071430893
46.55814982,-0.01664388,0.017440797,0.9955142,0.157414667,-0.24095116,-0.010455287
46.56814982,-0.015911457,0.01703532,0.997639533,0.106601619,-0.291764167,-0.081593493
46.57814982,-0.01680664,0.017355957,0.997788867,0.106601619,-0.251113767,-0.05110569
46.58814982,-0.0169694,0.015484417,1.002344433,0.137089386,-0.139325167,-0.122243897
46.59814982,-0.01713216,0.01491455,1.000130467,0.1675772,-0.169812967,-0.061268283
46.60814982,-0.0165625,0.01272115,0.9984297,0.198065,-0.07834956,-0.112081286
46.61814982,-0.01680664,0.013620807,0.997208567,0.198065,-0.01737396,-0.112081286
46.62814982,-0.015179037,0.011913247,0.997456533,0.13708941,0.317991873,-0.091756093
46.63814982,-0.01631836,0.013778687,0.9967258,0.13708941,0.714333267,0.06068294
46.64814982,-0.015423177,0.01474935,0.998509833,0.045625996,0.8057967,0.111495954
46.65814982,-0.011761067,0.02035787,0.995324533,0.045625996,0.6431951,0.060682944
46.66814982,-0.011679687,0.019058227,0.996696033,-0.035674811,0.175715467,-0.10191869
46.67814982,-0.01281901,0.017189533,0.998310367,-0.015349587,-0.1088374,-0.132406507
46.68814982,-0.018352863,0.01312093,0.999228933,0.015138189,-0.210463433,-0.193382137
46.69814982,-0.019899087,0.014996947,1.000049933,0.025300781,-0.1799756,-0.142569127
46.70814982,-0.021526693,0.01475606,0.996094667,0.015138188,-0.291764233,-0.132406513
46.71814982,-0.018759767,0.013946123,0.998453833,0.004975596,-0.312089433,-0.071430883
46.72814982,-0.014772136,0.01296407,0.9973163,0.055788643,-0.2003008,-0.05110568
46.73814982,-0.012737629,0.01450826,0.998671267,0.02530083,0.01311387,-0.07143089
46.74814982,-0.013551432,0.01515788,0.999158833,0.13708947,0.206203303,-0.010455276
46.75814982,-0.015911457,0.01474935,1.000706367,0.045626003,0.521243803,0.091170743
46.76814982,-0.017864583,0.01670105,1.000551267,0.03546341,1.0293739,0.80255271
46.77814982,-0.014283853,0.019708657,1.000783267,-0.147463457,1.984658333,3.932634133
46.78814982,-0.007447917,0.02353434,1.000947267,-0.177951223,3.011081333,10.284259
46.79814982,0.004352216,0.02352661,1.005325333,-0.330390267,3.224496,19.31881167
46.80814982,0.014606123,0.022545573,1.003694433,-0.5539675,3.021244,30.40621333
46.81814982,0.01745443,0.018805543,1.005481767,-0.8385205,1.852544733,40.25377667
46.82814982,0.009397787,0.019138187,1.002339767,-1.163723867,1.019211333,47.22532333
46.83814982,-0.006634117,0.009728599,1.003493967,-1.275512333,0.2265285,49.44076667
46.84814982,0.00012044,0.011759239,1.0003253,-1.387301,0.2875041,52.54036
46.85814982,0.006386717,0.009056396,1.003391633,-1.488927,0.673682967,58.17044
46.86814982,0.008909507,0.0271759,1.0028092,-1.651528667,0.937910467,64.88792
46.87814982,0.003131514,0.03520182,1.000251567,-1.854780667,1.039536467,68.96312333
46.88814982,0.00980469,0.040277303,1.000123233,-1.895431,1.679780333,72.52003333
46.89814982,0.02526693,0.026360477,1.001912033,-2.159658667,2.441975667,76.92044
46.90814982,0.047402347,0.02475403,1.014004,-2.383235667,3.031406667,86.58507333
46.91814982,0.039264327,0.04760193,1.010168633,-2.738926667,3.072057,95.16231667
